Country Name,Country Code,Series Name,Series Code,Year,Value
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2000,870486065.883137
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,134.537861752389
Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,24.4320242102151
Burundi,BDI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,1125869260.9
Burundi,BDI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,37646865.1651183
Burundi,BDI,Lending interest rate (%),FR.INR.LEND,2000,15.77
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,2000,539227277.626411
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1189.51479345891
Cabo Verde,CPV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,-2.47745668519835
Cabo Verde,CPV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,319703769.2
Cabo Verde,CPV,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,28196818.8690417
Cabo Verde,CPV,Lending interest rate (%),FR.INR.LEND,2000,
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,2000,3694168979.32019
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,296.426687526334
Cambodia,KHM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,-0.791992529473567
Cambodia,KHM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,2108290127.2
Cambodia,KHM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,611415267.593156
Cambodia,KHM,Lending interest rate (%),FR.INR.LEND,2000,
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,2000,10566579294.9831
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,708.565731625965
Cameroon,CMR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,1.22719012976132
Cameroon,CMR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,10561281361.4
Cameroon,CMR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,220219413.043293
Cameroon,CMR,Lending interest rate (%),FR.INR.LEND,2000,
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,2000,744773415931.587
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,24271.0020563821
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,2.71943995691976
Canada,CAN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Canada,CAN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,32427268296.4522
Canada,CAN,Lending interest rate (%),FR.INR.LEND,2000,7.27083333333333
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,2000,
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,
Cayman Islands,CYM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Cayman Islands,CYM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Cayman Islands,CYM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
Cayman Islands,CYM,Lending interest rate (%),FR.INR.LEND,2000,
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2000,916777282.691659
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,239.154133726071
Central African Republic,CAF,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,3.20340091563112
Central African Republic,CAF,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,869008795.3
Central African Republic,CAF,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,136311955.642756
Central African Republic,CAF,Lending interest rate (%),FR.INR.LEND,2000,
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,2000,1388506771.58756
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,163.121663683369
Chad,TCD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,3.82260088086307
Chad,TCD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,1098901268.9
Chad,TCD,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,113752750.287429
Chad,TCD,Lending interest rate (%),FR.INR.LEND,2000,
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,2000,6439703434.71024
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,43479.1940767689
Channel Islands,CHI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Channel Islands,CHI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Channel Islands,CHI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
Channel Islands,CHI,Lending interest rate (%),FR.INR.LEND,2000,
